"country","category","version","filetype","title","desc","citation","doi","file","file_size","url","date","hash","git"
"COD","Population","v1.0","gridded","Gridded population estimates (100m) for Democratic Republic of the Congo","NA","WorldPop (School of Geography and Environmental Science, University of Southampton). 2020. Bottom-up gridded population estimates for the Kinshasa, Kongo-Central, Kwango, Kwilu, and Mai-Ndombe provinces in the Democratic Republic of the Congo, version 1.0. https://dx.doi.org/10.5258/SOTON/WP00658","https://dx.doi.org/10.5258/SOTON/WP00658","COD_population_v1_0_gridded.zip",10825326,"http://wopr.worldpop.org/download/78","2019-05-20","cfb54b8b259a33d26fc65dfc135c612a","NA"
"COD","Population","v1.0","mastergrid","Mastergrid for gridded population estimates","NA","WorldPop (School of Geography and Environmental Science, University of Southampton). 2020. Bottom-up gridded population estimates for the Kinshasa, Kongo-Central, Kwango, Kwilu, and Mai-Ndombe provinces in the Democratic Republic of the Congo, version 1.0. https://dx.doi.org/10.5258/SOTON/WP00658","https://dx.doi.org/10.5258/SOTON/WP00658","COD_population_v1_0_mastergrid.tif",1604129,"http://wopr.worldpop.org/download/85","2019-05-20","faac22b4dfad9dfaf5769c476db8b949","NA"
"COD","Population","v1.0","README","Release statement","NA","WorldPop (School of Geography and Environmental Science, University of Southampton). 2020. Bottom-up gridded population estimates for the Kinshasa, Kongo-Central, Kwango, Kwilu, and Mai-Ndombe provinces in the Democratic Republic of the Congo, version 1.0. https://dx.doi.org/10.5258/SOTON/WP00658","https://dx.doi.org/10.5258/SOTON/WP00658","COD_population_v1_0_README.pdf",130719,"http://wopr.worldpop.org/download/79","2019-05-20","926d4061be55b8fba1251548306eb3d8","NA"
"COD","Population","v1.0","sql","SQL database with posterior population predictions","NA","WorldPop (School of Geography and Environmental Science, University of Southampton). 2020. Bottom-up gridded population estimates for the Kinshasa, Kongo-Central, Kwango, Kwilu, and Mai-Ndombe provinces in the Democratic Republic of the Congo, version 1.0. https://dx.doi.org/10.5258/SOTON/WP00658","https://dx.doi.org/10.5258/SOTON/WP00658","COD_population_v1_0_sql.sql",14048833536,"http://wopr.worldpop.org/download/80","2019-05-20","58061e272d45150abcf875c2b1751341","NA"
"COD","Population","v1.0","tiles_population","Image tiles for gridded population estimates","NA","WorldPop (School of Geography and Environmental Science, University of Southampton). 2020. Bottom-up gridded population estimates for the Kinshasa, Kongo-Central, Kwango, Kwilu, and Mai-Ndombe provinces in the Democratic Republic of the Congo, version 1.0. https://dx.doi.org/10.5258/SOTON/WP00658","https://dx.doi.org/10.5258/SOTON/WP00658","COD_population_v1_0_tiles_population.zip",275029944,"http://wopr.worldpop.org/download/81","2019-05-20","03a53c6707d3080c93487c6e9c0e49f5","NA"
"COD","Population","v1.0","tiles_uncertainty","Image tiles for gridded uncertainty estimates","NA","WorldPop (School of Geography and Environmental Science, University of Southampton). 2020. Bottom-up gridded population estimates for the Kinshasa, Kongo-Central, Kwango, Kwilu, and Mai-Ndombe provinces in the Democratic Republic of the Congo, version 1.0. https://dx.doi.org/10.5258/SOTON/WP00658","https://dx.doi.org/10.5258/SOTON/WP00658","COD_population_v1_0_tiles_uncertainty.zip",29178726,"http://wopr.worldpop.org/download/82","2019-05-20","2b8d6b7f90cf0efbb65b1b59838a1b32","NA"
"NGA","Population","v1.0","admin","Population totals for administrative units in Nigeria","NA","WorldPop (School of Geography and Environmental Science, University of Southampton). 2019. Bottom-up gridded population estimates for Nigeria, version 1.0. https://dx.doi.org/10.5258/SOTON/WP00656","https://dx.doi.org/10.5258/SOTON/WP00656","NGA_population_v1_0_admin.zip",23491,"http://wopr.worldpop.org/download/76","2018-11-20","e65cd903f552e6ae25718128c74680e2","NA"
"NGA","Population","v1.0","gridded","Gridded population estimates (100m) for Nigeria","NA","WorldPop (School of Geography and Environmental Science, University of Southampton). 2019. Bottom-up gridded population estimates for Nigeria, version 1.0. https://dx.doi.org/10.5258/SOTON/WP00656","https://dx.doi.org/10.5258/SOTON/WP00656","NGA_population_v1_0_gridded.zip",38321045,"http://wopr.worldpop.org/download/75","2018-11-20","a27fa8abcc6b2a03cf41d074a2e751f7","NA"
"NGA","Population","v1.0","README","Release statement","NA","WorldPop (School of Geography and Environmental Science, University of Southampton). 2019. Bottom-up gridded population estimates for Nigeria, version 1.0. https://dx.doi.org/10.5258/SOTON/WP00656","https://dx.doi.org/10.5258/SOTON/WP00656","NGA_population_v1_0_README.pdf",111180,"http://wopr.worldpop.org/download/77","2018-11-20","3d3dc5951be64a29b929f85682bef66a","NA"
"NGA","Population","v1.1","admin","Population totals for administrative units in Nigeria","NA","WorldPop (School of Geography and Environmental Science, University of Southampton). 2019. Bottom-up gridded population estimates for Nigeria, version 1.1. https://dx.doi.org/10.5258/SOTON/WP00657","https://dx.doi.org/10.5258/SOTON/WP00657","NGA_population_v1_1_admin.zip",2138623,"http://wopr.worldpop.org/download/69","2019-02-22","f78fafc47b0150feb45ff97a8627b370","NA"
"NGA","Population","v1.1","gridded","Gridded population estimates (100m) for Nigeria","NA","WorldPop (School of Geography and Environmental Science, University of Southampton). 2019. Bottom-up gridded population estimates for Nigeria, version 1.1. https://dx.doi.org/10.5258/SOTON/WP00657","https://dx.doi.org/10.5258/SOTON/WP00657","NGA_population_v1_1_gridded.zip",60800139,"http://wopr.worldpop.org/download/68","2019-02-22","e7fb6b0229e533d536504390e217cf68","NA"
"NGA","Population","v1.1","mastergrid","Mastergrid for gridded population estimates","NA","WorldPop (School of Geography and Environmental Science, University of Southampton). 2019. Bottom-up gridded population estimates for Nigeria, version 1.1. https://dx.doi.org/10.5258/SOTON/WP00657","https://dx.doi.org/10.5258/SOTON/WP00657","NGA_population_v1_1_mastergrid.tif",5441640,"http://wopr.worldpop.org/download/74","2019-02-22","60f7e7424b1de32e3f4854e3f25e43fb","NA"
"NGA","Population","v1.1","README","Release statement","NA","WorldPop (School of Geography and Environmental Science, University of Southampton). 2019. Bottom-up gridded population estimates for Nigeria, version 1.1. https://dx.doi.org/10.5258/SOTON/WP00657","https://dx.doi.org/10.5258/SOTON/WP00657","NGA_population_v1_1_README.pdf",114897,"http://wopr.worldpop.org/download/70","2019-02-22","6df9134fc641410b605f8d8fc41f0986","NA"
"NGA","Population","v1.1","sql","SQL database with posterior population predictions","NA","WorldPop (School of Geography and Environmental Science, University of Southampton). 2019. Bottom-up gridded population estimates for Nigeria, version 1.1. https://dx.doi.org/10.5258/SOTON/WP00657","https://dx.doi.org/10.5258/SOTON/WP00657","NGA_population_v1_1_sql.sql",23828553728,"http://wopr.worldpop.org/download/71","2019-02-22","771604570497b0f28eae487e4e07316f","NA"
"NGA","Population","v1.1","tiles_population","Image tiles for gridded population estimates","NA","WorldPop (School of Geography and Environmental Science, University of Southampton). 2019. Bottom-up gridded population estimates for Nigeria, version 1.1. https://dx.doi.org/10.5258/SOTON/WP00657","https://dx.doi.org/10.5258/SOTON/WP00657","NGA_population_v1_1_tiles_population.zip",386872512,"http://wopr.worldpop.org/download/72","2019-02-22","864df3c7cad8dac8874a4086ac8e1faf","NA"
"NGA","Population","v1.1","tiles_uncertainty","Image tiles for gridded uncertainty estimates","NA","WorldPop (School of Geography and Environmental Science, University of Southampton). 2019. Bottom-up gridded population estimates for Nigeria, version 1.1. https://dx.doi.org/10.5258/SOTON/WP00657","https://dx.doi.org/10.5258/SOTON/WP00657","NGA_population_v1_1_tiles_uncertainty.zip",541977891,"http://wopr.worldpop.org/download/73","2019-02-22","f11531ca5cdacb40846182bee54778d6","NA"
"NGA","Population","v1.2","admin","Population totals for administrative units in Nigeria","NA","WorldPop (School of Geography and Environmental Science, University of Southampton). 2019. Bottom-up gridded population estimates for Nigeria, version 1.2. https://dx.doi.org/10.5258/SOTON/WP00655","https://dx.doi.org/10.5258/SOTON/WP00655","NGA_population_v1_2_admin.zip",2812511,"http://wopr.worldpop.org/download/62","2019-10-07","27d033699db43324656339ca113bbe97","NA"
"NGA","Population","v1.2","gridded","Gridded population estimates (100m) for Nigeria","NA","WorldPop (School of Geography and Environmental Science, University of Southampton). 2019. Bottom-up gridded population estimates for Nigeria, version 1.2. https://dx.doi.org/10.5258/SOTON/WP00655","https://dx.doi.org/10.5258/SOTON/WP00655","NGA_population_v1_2_gridded.zip",71023604,"http://wopr.worldpop.org/download/61","2019-10-07","af3421b73db04924bca7193569585ab8","NA"
"NGA","Population","v1.2","mastergrid","Mastergrid for gridded population estimates","NA","WorldPop (School of Geography and Environmental Science, University of Southampton). 2019. Bottom-up gridded population estimates for Nigeria, version 1.2.","https://dx.doi.org/NA","NGA_population_v1_2_mastergrid.tif",5441640,"http://wopr.worldpop.org/download/67","2019-10-07","60f7e7424b1de32e3f4854e3f25e43fb","NA"
"NGA","Population","v1.2","README","Release statement","NA","WorldPop (School of Geography and Environmental Science, University of Southampton). 2019. Bottom-up gridded population estimates for Nigeria, version 1.2. https://dx.doi.org/10.5258/SOTON/WP00655","https://dx.doi.org/10.5258/SOTON/WP00655","NGA_population_v1_2_README.pdf",114128,"http://wopr.worldpop.org/download/63","2019-10-07","f9c187f153e682969a7b3b208a034586","NA"
"NGA","Population","v1.2","sql","SQL database with posterior population predictions","NA","WorldPop (School of Geography and Environmental Science, University of Southampton). 2019. Bottom-up gridded population estimates for Nigeria, version 1.2. https://dx.doi.org/10.5258/SOTON/WP00655","https://dx.doi.org/10.5258/SOTON/WP00655","NGA_population_v1_2_sql.sql",151750938624,"http://wopr.worldpop.org/download/64","2019-10-07","c9b730b093254d132d1eaddd176aa06d","NA"
"NGA","Population","v1.2","tiles_population","Image tiles for gridded population estimates","NA","WorldPop (School of Geography and Environmental Science, University of Southampton). 2019. Bottom-up gridded population estimates for Nigeria, version 1.2. https://dx.doi.org/10.5258/SOTON/WP00655","https://dx.doi.org/10.5258/SOTON/WP00655","NGA_population_v1_2_tiles_population.zip",387499792,"http://wopr.worldpop.org/download/65","2019-10-07","d9d28d0746f95a0f738e7ecab0eb3bc7","NA"
"NGA","Population","v1.2","tiles_uncertainty","Image tiles for gridded uncertainty estimates","NA","WorldPop (School of Geography and Environmental Science, University of Southampton). 2019. Bottom-up gridded population estimates for Nigeria, version 1.2. https://dx.doi.org/10.5258/SOTON/WP00655","https://dx.doi.org/10.5258/SOTON/WP00655","NGA_population_v1_2_tiles_uncertainty.zip",486744145,"http://wopr.worldpop.org/download/66","2019-10-07","aa8c31a615e5d4c24f5a7ef226f27954","NA"
"SSD","Population","v1.0","gridded","Gridded population estimates (100m) for South Sudan","NA","WorldPop (School of Geography and Environmental Science, University of Southampton). 2020. South Sudan 2019 gridded population estimates from census projections adjusted for displacement, version 1.0. https://dx.doi.org/10.5258/SOTON/WP00659","https://dx.doi.org/10.5258/SOTON/WP00659","SSD_population_v1_0_gridded.zip",14204899,"http://wopr.worldpop.org/download/86","2019-12-06","7d70181ceaca60da8982a51a843936cb","NA"
"SSD","Population","v1.0","README","Release statement","NA","WorldPop (School of Geography and Environmental Science, University of Southampton). 2020. South Sudan 2019 gridded population estimates from census projections adjusted for displacement, version 1.0. https://dx.doi.org/10.5258/SOTON/WP00659","https://dx.doi.org/10.5258/SOTON/WP00659","SSD_population_v1_0_README.pdf",108685,"http://wopr.worldpop.org/download/87","2019-12-06","a8672920c38d7f8b776b998b17e406ae","NA"
